言为心声 言语是思想的反映，从一个人的话里可以知道他的思想感情。
不可终日 终日从早到晚，一天。一天都过不下去。形容局势危急或心中极其恐慌不安。
论心定罪 根据犯罪人的动机和情节来判定其罪行。
风和日暄 微风和畅，阳光温暖。见风和日暖”。
不知所云 云说。不知道说得是些么。形容说话内容混乱，无法理解。
心如槁木 犹心若死灰。形容不为外物所动的一种精神状态。现多用以形容灰心失意。
流落风尘 流落因生活所迫而留居他乡；风尘指纷扰的生活。穷困潦倒，漂泊江湖。
风轻云净 微风轻拂，浮云淡薄。形容天气晴好。同风轻云淡”。
流言飞文 犹言流言蜚语×无根据的话。指背后散布的诽谤性的坏话。
伤心疾首 痛心疾首，形容痛心之至。
椎心顿足 形容人悲痛、悔恨等时的情状。同椎胸顿足”。
风流罪过 风流原为封建士大夫的所谓风雅。原指因为风雅而致的过错◇也指因搞男女关系而犯下的罪。
友风子雨 指云。云以风为友，以雨为子。盖风与云并行，雨因云而生。
振奋人心 振奋振作奋发。使人们振作奋发。
刻骨镂心 铭刻在心灵深处。形容记忆深刻，永远不忘。
刻骨崩心 指仇恨极深。
别有心肠 指另有打算和企图。犹别有肺肠。
镂心刻骨 形容感念深切，难以忘怀。
心慈手软 心怀恻隐而不忍下手。
风行革偃 风一吹草就倒下。比喻道德文教的感化人。
疾首痛心 ①伤心到时极点。②痛恨到极点。
痛心疾首 疾首头痛。形容痛恨到了极点。
略迹论心 撇开表面的事实而评论其用心。
言听事行 指说话能听从，事情能执行。
风行电掣 掣闪过。像风一样飞驰而过，像闪电一样一闪即逝。形容非常迅速。
刺心切骨 指内心极其悲愤。
柔心弱骨 形容性情柔和。
余风遗文 传留下来的习气和文章。余，通馀”。
风尘之变 风尘比喻战乱。指战争的灾乱。
革面悛心 比喻彻底改过，重新做人。同革面洗心”。
戮力齐心 戮力并力，合力。指齐心协力。同戮力同心”。
亿兆一心 全国人民一条心。
心焦火燎 心里急得像火烧着一样。形容十分焦急。
使心作幸 用心机。亦作使心用幸”。
齐心戮力 戮合。指同心合力。
劳心焦思 劳费；焦焦急。形容人为某事忧心苦思。
心狠手毒 犹言心狠手辣。心肠凶狠，手段毒辣。
协力齐心 思想一致，共同努力。亦作协心同力”、协力同心”。
事不过三 指同样的事不宜连作三次。
齐心协力 形容认识一致，共同努力。
不成三瓦 比喻不能要求齐全。
焦心劳思 形容人非常操心、担忧。
中心摇摇 中心心中；摇摇心神不安。形容心神恍惚，难以自持。
口角春风 口角嘴边。原指言语评论如春风之能生长万物◇比喻替人吹嘘或替人说好话。
分文不名 名占有。一分钱一个铜板也没有。比喻非常贫困。
三夫之言 泛指经过多人传播的流言。
日炙风吹 日晒风吹。形容长途跋涉之苦。
不世之功 不世不是每代都有的，即非常、非凡。形容功劳极大。
祥风时雨 形容风调雨顺。多比喻恩德。
刺心刻骨 ①犹刻骨铭心。指感念至深。②亦作刺心切骨”。内心极其悲愤。
风急浪高 形容风浪很大。
春风和气 春天和煦的春风吹拂着人们。比喻对人态度和蔼可亲。
言之无物 指文章或言论空空洞洞，没有实际内容。
身遥心迩 犹言身远心近。指身体相隔虽远，但是双方的心却贴得很近。
使心作倖 用心机。亦作使心用倖”。
口出大言 说大话。形容说话狂妄。
风掣雷行 掣闪过。风闪雷鸣。形容像刮风和响雷那样迅速。
风云变态 变态改变常态。风云改变常态。形容诗文变化多姿。
食生不化 指生吞活剥，不善灵活运用。
离心离德 心、德心意。思想不统一，信念也不一致。指不一条心。
洗心换骨 道家语，指洗去尘心，换掉凡骨，即可超离凡尘而入圣。
冷心冷面 态度冷淡，对人没有感情。
扣人心弦 扣敲打。形容事物激动人心。
心惊肉跳 形容担心灾祸临头，恐慌不安。
别有心肝 指另有打算和企图。犹别有肺肠。
一成不易 一经形成，不再改变。同一成不变”。
用心良苦 用心认真思考；良很≤费心思地反复思考。
枯形灰心 身体像枯木心如同死灰。形容极端消极。
肉跳心惊 心里吃惊，身上肉跳。形容担心祸事临头或遇到非常可怕的事，十分害怕不安。
寒心消志 形容担心忧虑。同寒心销志”。
惊心悲魄 指使人心中震动和悲哀。
痛入心脾 形容悲痛到了极点。
心腹大患 指严重隐患或要害部门的大患。同心腹重患”。
一事不知 比喻知识尚有欠缺。同一物不知”。
出言成章 本意是出言便成为规范，后多用以形容文思敏捷。
心慈面软 形容为人和善。
甘心首疾 甘心情愿，乐意；首头；疾病，引申为痛。想得头痛也心甘情愿。形容男女之间相互思念的痴情。
别有用心 用心居心，打算。心中另有算计。指言论或行动另有不可告人的企图。
倾心吐胆 比喻痛快地说出了心里话。
以耳为目 拿听到的当作亲眼目睹的。比喻不亲自了解情况，只听信别人说的。
革面革心 比喻彻底改过，重新做人。同革面洗心”。
放心托胆 心里放得下，有所凭借而胆大。形容毫无顾虑。
吐胆倾心 倾倒出。将埋藏在心底里的话全部讲出来。比喻痛快地说出了心里话。
风花雪夜 原指旧时诗文里经常描写的自然景物◇比喻堆砌词藻、内容贫乏空洞的诗文。
枉费心力 犹言枉费心机。指白费心思。
分风劈流 比喻说话干脆而有力量。
耳食之言 耳食耳朵吃饭。指没有确凿的根据，未经思考分析的传闻。
天高地下 ①比喻尊卑有别。②比喻各种情势。
不期而然 期希望；然如此。不希望这样，而竟然这样。表示出乎意外。
道骨仙风 指有得道者及仙人的气质神采。
仙风道骨 骨气概。仙人的风度，道长的气概。形容人的风骨神采与众不同。
一成不变 成制定，形成。一经形成，不再改变。
雪操冰心 志行品德高尚纯洁。
齐心併力 形容认识一致，共同努力。同齐心协力”。
长风破浪 比喻志向远大，不怕困难，奋勇前进。
风木之悲 风木同风树”，比喻因父母亡故，不能奉养。指丧父母的悲伤。
披露腹心 披露显露，展示；腹心真诚的心意。形容以真心示人。
风吹日晒 狂风吹，烈日晒。形容无所遮挡。
处心积虑 处心存心；积虑经过长时间的老虎。形容蓄谋已久。
风吹云散 比喻事物的消失、完结。
放心解体 指人心离散、瓦解。
惊心吊魄 形容使人十分惊骇紧张到极点。同惊心动魄”。
痛心病首 犹痛心疾首。形容极其悲愤。
忧心如焚 如焚象火烧一样。心里愁得象火烧一样。形容非常忧虑焦急。
不翼而飞 翼翅膀。没有翅膀却飞走了。比喻物品忽然丢失。也比喻事情传播得很迅速。
日试万言 一日写上万字的文章。形容富有才华，思路敏捷。
感人心脾 形容使人的内心深受感动。
挖空心思 比喻想尽一切办法。
风驰云走 形容奔驰疾速。
铭心刻骨 刻写在心上骨上，形容记忆深刻，难以忘记。
刻骨铭心 铭刻在心灵深处。形容记忆深刻，永远不忘。
心胆俱碎 形容受到极大的惊吓。同心胆俱裂”。
心痒难挠 指心中有某种意念或情绪起伏不定，无法克制。形容高兴得不知如何才好。
风雷之变 指上天示警的灾异现象。
狗肺狼心 形容心肠象狼和狗一样凶恶狠毒。同狼心狗肺”。
成风尽垩 形容技艺高超。
心辣手狠 心肠凶狠，手段毒辣。同心狠手辣”。
狼心狗肺 形容心肠象狼和狗一样凶恶狠毒。
正言不讳 说话爽直，毫无忌讳。
狠心辣手 残忍的心肠，毒辣的手段。
心狠手辣 心肠凶狠，手段毒辣。
怀恨在心 把怨恨藏在心里。形容对人记下仇恨，以伺机报复。
合而为一 把散乱的事物合在一起。
降心顺俗 降低心志，随顺流俗。
心痒难抓 指心中有某种意念或情绪起伏不定，无法克制。同心痒难挠”。
琴心剑胆 比喻既有情致，又有胆识（旧小说多用来形容能文能武的才子）。
剑胆琴心 比喻既有情致，又有胆识（旧小说多用来形容能文能武的才子）。
言行计从 说的话出的主意都采纳照办。形容深被信任。
心如刀割 内心痛苦得象刀割一样。
莫逆于心 心中没有抵触。指情感一致，心意相投。
风云突变 风云比喻变幻动荡的局势。局势突然发生了变化。
肉颤心惊 形容担心祸事临头或遇到非常可怕的事，十分害怕不安。同肉跳心惊”。
言从计行 形容对某人十分信任。同言行计从”。
胆壮心雄 形容胆子大，有雄心，做事无所畏惧。
人心叵测 叵不可。人的心地不可探测。形容人心险恶。
日以为常 经常做某件事，成了惯例常规。
利欲熏心 贪财图利的欲望迷住了心窍。
春风雨露 像春天的和风和雨滴露水那样滋润着万物的生长。旧常用以比喻恩泽。
胆战心慌 形容十分害怕。
钻心刺骨 钻入心里，侵入骨中。形容刺激极深。
心谤腹非 口里不说，心里谴责。指暗地里反对。
一言为定 一句话说定了，不再更改。比喻说话算数，决不翻悔。
腹非心谤 心怀不满，暗中发泄。
行不胜衣 衣服都禁受不起，比喻体力衰弱。
天地不容 天地天地之间，人世间。容宽容。天地所不能容纳。指大逆不道、罪孽深重的人与事。
高山景行 高山比喻道德崇高；景行大路，比喻行为正大光明。指值得效法的崇高德行。
竭力虔心 诚心诚意地用全力做某件事情。
言外之意 指有这个意思，但没有在话里明说出来。
心痒难揉 指心中有某种意念或情绪起伏不定，无法克制。同心痒难挠”。
碎心裂胆 形容异常恐惧。
以言举人 根据言论来举荐人才。
秋月春风 指良辰美景。也指美好的岁月。
风雨如盘 盘大石头。形容风雨极大。
如风过耳 象风在耳边吹过一样。比喻漠不关心，不相关涉。
寒心销志 形容担心忧虑。同寒心消志”。
剖心析胆 犹剖心析肝。形容掬诚相示。
刊心刻骨 指印象深刻，令人难忘。
率土归心 率土四海之內。指天下归心。同率土宅心”。
心胆俱裂 俱都。吓破了心和胆。形容受到极大的惊吓。
未为不可 不是不可以。委婉地肯定。
风云变幻 象风云那样变化不定。比喻时局变化迅速，动向难以预料。
不通水火 形容跟人不相往来。
疾不可为 疾病；为治。病已不可医治。比喻已到了绝境。
切理会心 犹切理厌心。指切合事理而令人心满意足。
难以为情 指情面上过不去。
心直嘴快 性情直爽，有话就说。同心直口快”。
嘴直心快 性情直爽，有话就说。
金玉良言 金玉黄金和美玉。比喻可贵而有价值的劝告。
风雨连床 指兄弟或亲友久别后重逢，共处一室倾心交谈的欢乐之情。同风雨对床”。
坏人心术 使人意志消沉、萎靡不振的居心。
流风回雪 指轻逸飘摇的样子。
费尽心机 心机计谋。挖空心思，想眷法。
下不为例 下次不可以再这样做。表示只通融这一次。
鼠心狼肺 形容心肠阴险狠毒。
使心用腹 用心思，使坏心眼。
不知所出 ①不知道从哪里来的。②不知道该怎么办。
见机而行 见机看时机，看情况。看具体情况灵活办事。
月朗风清 月光明朗，微风清爽。形容宁静美好的月夜。
心痒难挝 挝古同抓”，用指或爪挠。指心中有某种意念或情绪起伏不定，无法克制。同心痒难挠”。
洞心骇耳 形容使人震惊。
切齿痛心 切齿咬紧牙齿；痛心形容心中极恨。形容愤恨到极点。
清风朗月 比喻不随便结交朋友。也比喻清闲无事。同清风明月”。
千言万说 犹千言万语。形容说得话很多。
钩心斗角 心宫室中心；角檐角。原指宫室建筑结构的交错和精巧◇比喻用尽心机，明争暗斗。
朗月清风 明朗的月色，清新的和风。
百不失一 一百次中无一次失误。表示射箭或打枪命中率高，或做事有充分把握。
风起水涌 大风刮起，水波汹涌。
镂骨铭心 铭刻在心灵深处。形容记忆深刻，永远不忘。
耳软心活 比喻自己没有一点主见，就是相信别人的话。
风清月朗 风凉爽，月明亮。
落花无言 原来比喻诗的风格典雅◇比喻经受失败而无怨忿。
水宿山行 夜宿于水，日行于山。形容长途跋涉。
铭心镂骨 形容感受极深，永记不忘。
不言不语 不说话，闷声不响。
人心皇皇 见人心惶惶”。人们内心惊恐不安。
造言生事 捏造虚言以挑起事端。
万不失一 形容绝对不会出差错。同万无一失”。
心焦如焚 心里焦躁，像着了火一样。形容心情焦灼难忍。
千生万死 指历尽艰险。
下笔千言 千言长篇大论。形容文思敏捷，写作迅速。
风雨交加 又是刮风，又是下雨。比喻几种灾难同时袭来。
台阁生风 台阁东汉尚书的办公室。泛指官府大臣在台阁中严肃的风气。比喻官风清廉。
血风肉雨 形容剧烈残酷的屠杀或性格刚强。
甘败下风 甘情愿，乐意；下风风向的下方。对人自认不如，真心佩服。
以不济可 指用否定错误意见的办法，帮助国君走上成功之路。不，同否”。济，成。
一言一行 每句话，每个行动。
水满金山 神话故事。金山，在江苏省镇江市。同水漫金山”。
心如悬旌 形容心神不定。
不日不月 指不计日月，没有期限。
震撼人心 撼摇动。指某件事对人内心震动很大。
心醉魂迷 形容佩服爱幕到极点。
占风望气 察看风向云气。亦比喻看风使舵，随机应变。
下落不明 下落着落，去处。指不知道要寻找的人或物在什么地方。
心如刀锯 犹心如刀割。内心痛苦得象刀割一样。
存心积虑 指长期、一贯的思想、想法。
有嘴没心 指不是有心说的。同有嘴无心”。
沁人心肺 指人感到舒适，有清新爽朗的感觉。同沁人心脾”。
于心何忍 怎能忍心。即内心不忍。
蛊惑人心 蛊惑迷惑。指用欺骗引诱等手段迷惑人，搞乱人的思想。
风起云涌 大风刮起，乌云涌现。比喻新事物相继兴起，声势很盛。
心如刀搅 犹心如刀割。内心痛苦得象刀割一样。
林下风度 称颂妇女娴雅飘逸的风采。
心非巷议 心里不满，而在私下议论。
呕心镂骨 形容费尽心思与精力（多用于文艺创作）。
痛心拔脑 形容伤心到极点。
熬心费力 耗费心神和气力。
百不当一 当抵挡。一百个抵挡不住一个。
不壹而足 足充足。指同类的事物不只一个而是很多，无法列举齐全。同不一而足”。
困心横虑 心意困苦，忧虑满胸。表示费尽心力。
古貌古心 形容外表和内心具有古人的风度。
倚马千言 倚马靠着战马。倚靠在即将出发的战马前起草文件，千言立就。形容才思敏捷。
成事不说 说解说。原指事情已成，不要在解说；后指事情已过，不要再解说。
饮血崩心 血泪满面，心为之碎。形容极度悲痛。
日暖风恬 见日暖风和”。
风起云蒸 大风刮起，乌云蒸腾。比喻事物迅速兴起，声势浩大。
代马依风 代古代北方的郡名；代马北方产的良马。比喻人心眷恋故土，不愿老死他乡。
急如风火 急得像疾风烈火一样。形容十分急迫。
心如刀剉 犹心如刀割。内心痛苦得象刀割一样。
不分玉石 指无有区别，同归于尽。参见玉石俱焚”。
风清月皎 轻风清凉，月光皎洁。形容夜景优美宜人。
自以为是 是对。总以为自己是对的。形容主观，不虚心。
高风峻节 高风纯洁清高的风格；峻节坚定不移的节操。形容高尚坚贞的风骨节操。
心如刀锉 犹心如刀割。内心痛苦得象刀割一样。
大辩不言 大辩善于辩论。有口才、善于辩论的人，并不多说话以显示自己。
赤胆忠心 赤比喻真纯。形容十分忠诚。
满城风雨 城里到处刮风下雨。原形容重阳节前的雨景◇比喻某一事件传播很广，到处议论纷纷。
玉石不分 比喻好坏不分。
心如刀绞 内心痛苦得象刀割一样。
以言取人 根据人的口才去判断其智能。
忠心赤胆 形容十分忠诚。
惊心褫魄 形容十分恐惧。同惊心丧魄”。
听而不闻 闻听。听了跟没听到一样。形容不关心，不在意。
贪墨成风 墨不洁；贪墨官吏受贿。官吏贪污受贿的风气盛行。形容吏治腐败。
不谋而合 谋商量；合相符。事先没有商量过，意见或行动却完全一致。
吊胆提心 提心吊胆。形容非常担心或害怕。
心怀鬼胎 比喻藏着不可告人的心事。
提心吊胆 形容十分担心或害怕。
春风沂水 原意是大人和儿童在沂水洗个澡，在舞雩台上吹吹风。指放情自然，旷达高尚的生活乐趣。
树高招风 比喻人出了名或有了钱财就容易惹人注意，引起麻烦。同树大招风”。
龙言凤语 比喻轻松悠扬的音乐之声。
不足为法 不值得学习、效法。
笼络人心 笼络笼和络原是羁绊牲口的工具，引伸为用手段拉拢。耍弄手段，拉拢别人。
坐树不言 指功高而不自矜。
协心戮力 思想一致，并同努力。
风卷残云 大风把残云卷走。比喻一下子把残存的东西一扫而光。
风尘之会 风尘比喻战乱；会时机。指战乱发生之际。
慧心妙舌 聪明的心灵，巧妙的口才。
沁人心腑 指人感到舒适，有清新爽朗的感觉。同沁人心脾”。
春风化雨 化化生和养育。指适宜于草木生长的风雨。比喻良好的薰陶和教育。
以毛相马 根据毛色判断马的优劣。比喻从表面上看问题，其所得认识往往与实际不符。
目不知书 指读书很少或没读过书；不甚识字或不识字。同目不识书”。
破脑刳心 犹剖心沥血。比喻竭尽忠诚。
满面春风 春风指笑容。比喻人喜悦舒畅的表情。形容和蔼愉快的面容。
春风满面 春风指笑容。比喻人喜悦舒畅的表情。形容和霭愉快的面容。
止谈风月 止只，仅。只谈风、月等景物。隐指莫谈国事。
良工苦心 形容优秀艺术家的作品，在创作过程中都费尽心思。又泛指用心良苦。
慧心巧思 聪明的心地，精巧的构思。多用以形容女子某种技艺精巧，别出心裁。
良工心苦 良工手艺高明的工匠。形容优秀艺术家的作品，在创作过程中都费尽心思。
春风一度 度次，回。比喻领略一番美妙的生活情趣。亦借指男女合欢。
勾心斗角 原指宫室建筑结构的交错和精巧◇比喻用尽心机，明争暗斗。
一路顺风 旅途平安（多用于祝人）。
高风亮节 高风高尚的品格；亮节坚贞的节操。形容道德和行为都很高尚。
望峰息心 遥望山峦巍峨而尘念随之平息。多指遁世隐居。亦喻知难而止息。
美言不信 信信实，真实。词藻华美的言辞、文章，内容往往不真实。
信言不美 信真实。美美妙，漂亮。真实的话未经加工，所以不美妙动听。
不食马肝 相传马肝有毒，食之能致人于死。比喻不应研讨的事不去研讨。
枉费心计 指白费心思。同枉费心机”。
相对无言 指彼此相对说不出话来。
未风先雨 比喻未见事实先下结论。
人心惶惶 惶惶也作皇皇”，惊惶不安的样子。人们心中惊惶不安。
戮力壹心 戮力并力，合力。指齐心协力。同戮力同心”。
不知头脑 弄不清楚是怎么回事。犹不知所措。
小小不言 指细微的，不值得一提的。
枉费心思 指白费心思。同枉费心机”。
恬不为意 处之泰然，满不在乎。
无所不可 没有什么不可的。
忧心如捣 忧愁得像有东西在捣心一样。形容十分焦急。
石火风烛 比喻为时短暂。
形槁心灰 槁枯干。形容身体消瘦不堪，心境极为冷漠，毫无生气。
灰心槁形 形容意志消沉，形体枯槁。
槁形灰心 形容身体衰弱，意志消沉。
闻风破胆 听到一点风声就吓破了胆。形容对某种力量的极度惶恐。
切理厌心 指切合事理而令人心满意足。
不足为奇 足值得。不值得奇怪。指某种事物或现象很平常，没有什么奇怪的。
迷而不反 迷路后不知回来。比喻犯了错误不知改正。
日旰不食 形容专心致志，勤勉不懈。同日旰忘食”。
林下风致 指女子态度娴雅、举止大方。同林下风气”。
不同流俗 流俗流行的习俗。与世俗习气不同。形容品德高尚。
高风劲节 形容高尚坚贞的风骨节操。同高风峻节”。
白头而新 指相交虽久而并不知己，像新知一样。同白头如新”。
忍心害理 忍残忍。心地残忍，丧尽天良。
里丑捧心 指妄学别人而愈见其丑。
白头不终 指夫妇不能偕老。
心烦虑乱 心思烦乱，不知怎样才好。同心烦意乱”。
直口无言 犹言哑口无言。
一路风尘 形容旅途辛苦。
儿女心肠 年轻男女的柔情。亦指感情丰富、助人为乐的心性。
推心致腹 把赤诚的心交给人家。比喻真心待人。同推心置腹”。
措心积虑 犹言处心积虑。指长久考虑在心。
画虎不成 比喻好高骛远，一无所成，反贻笑柄。
悼心疾首 心里伤感，头部疼痛。形容悲痛到了极点。
望岫息心 多指遁世隐居。亦喻知难而止息。同望峰息心”。
石火风灯 比喻为时短暂。
日炙风筛 日晒风吹。形容长途跋涉之苦。
倍道而行 加快速度，一天走两天的行程。
避迹违心 指违背本意而隐匿。
水远山长 ①指路程遥远。同水远山遥”。②指山河辽阔。
风吹雨打 原指花木遭受风雨摧残。比喻恶势力对弱小者的迫害。也比喻严峻的考验。
雨打风吹 原指花木遭受风雨摧残。比喻恶势力对弱小者的迫害。也比喻严峻的考验。
青山不老 比喻永存。也比喻时间久长。
雄心壮志 伟大的理想，宏伟的志愿。
吐心吐胆 比喻赤诚相待，说出心里话。同吐肝露胆”。
直言不讳 讳避忌，隐讳。说话坦率，毫无顾忌。
山长水远 比喻道路遥远艰险。
饱经风雨 指经历过许多艰难困苦。同饱经风霜”。
调风弄月 调弄风月。比喻男女间的谈情说爱。
生不逢时 生下来没有遇到好时候。旧时指命运不好。
日昃不食 太阳已偏西还不吃饭。形容专心致志，勤勉不懈。
好自为之 为干，做。喜欢自己亲手去做。
水宿风餐 水上住宿，临风野餐。形容旅途生活艰苦。
风雨如晦 指白天刮风下雨，天色暗得象黑夜一样。形容政治黑暗，社会不安。
透骨酸心 形容极度伤心。
人事不知 指昏迷不醒，失去知觉。同人事不省”。
关心民瘼 瘼疾，疾苦。关心群众的疾苦。
大言不惭 说大话，不感到难为情。
宿水餐风 形容旅途或野外生活的艰苦。
裁心镂舌 形容用尽心思，费尽口舌。
疚心疾首 疚久病，忧虑。因歉疚而内心不安。心中不安，头痛脑胀。形容十分悲痛忧愁或不安。
餐风宿水 形容旅途的辛苦。
无人之地 没有人居住的地方。同无人之境”。
情不自已 犹情不自禁。感情激动得不能控制。强调完全被某种感情所支配。
悼心失图 悼悲伤；图谋划。因悲痛而失去了主张。
仁心仁闻 闻出名，有声望。有仁慈的心肠，有仁爱的声誉。
鬼迷心窍 鬼怪迷惑住心窍。指对问题认识不清。
惟日不足 惟只；足够。只觉时日不够。
苦心孤诣 指苦心钻研，到了别人所达不到的地步。也指为寻求解决问题的办法而煞费苦心。
述而不作 述阐述前人学说；作创作。指只叙述和阐明前人的学说，自己不创作。
动心忍性 动心使内心惊动；忍性使性格坚韧。指不顾外界阻力，坚持下去。
锦绣心肠 意思是满腹诗文，善出佳句。同锦绣肝肠”。
运斤成风 运挥动；斤斧头。挥动斧头，风声呼呼。比喻手法纯熟，技术高超。
言不二价 货物的价钱说一不二。同言无二价”。
自成一家 指在某一方面的学问或技术有独到的见解或独特的做法，能自成体系。
百死一生 形容生命极其危险，处于死亡的边缘。
水火不辞 指不避艰险。同水火不避”。
包藏祸心 包藏隐藏，包含；祸心害人之心。心里怀着害人的恶意。
枉用心机 指白费心思。同枉费心机”。
锦心绣肠 形容文思优美，聪明有才。
不足为虑 不值得忧虑担心。
空心汤圆 比喻徒有虚名而无实利或不能落实的诺言。
东风入律 指春风和畅，律吕调协。常用以称颂盛世。
暗室私心 指在暗中做见不得人的亏心事。同暗室亏心”。
计研心算 指精心研究计算。
飘风苦雨 形容天气恶劣。
言扬行举 根据德行和名声来选择人才。
并日而食 并日两天合并成一天。不能天天得食，两天三天才能得一天的粮食。形容生活穷困。
惊心骇瞩 指看到后内心感到震惊。
不恶而严 并不恶声恶气，但很威严，使人知敬畏。
言笑不苟 不随便谈笑。形容态度严肃庄重。同不苟言笑”。
不苟言笑 苟苟且，随便。不随便说笑。形容态度庄重严肃。
镌心铭骨 镌雕刻。意同刻骨铭心”。形容永记不忘。
苦不堪言 堪能。痛苦或困苦到了极点，已经不能用言语来表达。
万死一生 死的可能极大，活的希望极小。比喻冒生命危险。
镌骨铭心 镌雕刻；铭刻写。指牢牢记在心上。
我心如秤 表示自己处理事情极端公平。
别具心肠 指另有打算和企图。
沁入心脾 指人感到舒适，有清新爽朗的感觉。同沁人心脾”。
无风起浪 比喻平白无故地生出事来。有故意制造事端的意思。
生死不渝 渝改变。无论活着还是死去都不会改变。形容对理想、信念、友谊、盟约等忠贞不移。
风霜雨雪 比喻经历了种种艰难困苦。
佛眼佛心 比喻善意看待别人。
笑傲风月 犹言吟风弄月。形容心情悠闲自在。
急痛攻心 心里感到极度的焦急与悲痛。
风光月霁 指雨过天晴时明净清新的景象。亦比喻胸襟开阔、心地坦白。
风云际会 风云比喻难得的机会；际会遇合。比喻有能力的人遇上好机会。
霁月光风 指雨过天晴时的明净景象。用以比喻人的品格高尚，胸襟开阔。
嘴甜心苦 说话和善，居心不良。
目下十行 形容看书速度极快。
急风暴雨 急又快又猛；暴突然而猛烈。形容风雨来势猛。比喻迅猛激烈的斗争。
际会风云 遭逢到好的际遇。
虐老兽心 虐老虐待老人。喻残暴凶狠而无仁义，有如野兽。
一物不知 对某一事物有所不知。比喻知识尚有欠缺。
存而不论 存保留。指把问题保留下来，暂不讨论。
三言两语 几句话。形容话很少。
言三语四 言、语说、讲。形容人多嘴杂，议论纷纷。
推心置腹 把赤诚的心交给人家。比喻真心待人。
光风霁月 光风雨后初晴时的风；霁雨雪停止。形容雨过天晴时万物明净的景象。也比喻开阔的胸襟和心地。
百世不易 千秋万代永不改变。
言笑自若 谈笑如常，十分镇定。
玉树临风 形容人风度潇洒，秀美多姿。亦作临风玉树”。
语四言三 指信口乱说闲话。
高头大马 指体形高大的马。也比喻人的体形高大。
热心快肠 形容热情直爽。
锦心绣腹 形容优美的文思，华丽的辞藻。
不知所可 不知道该怎么办才好。
万世不易 易改变。永远不改变。亦作万代不易”。
福至心灵 福幸运。意思是人运气来了，心也变得灵巧了。
日不移影 日影没有移动。形容时间极短。
顺水顺风 比喻运气好，做事顺利，没有阻碍。
生不遇时 生下来没有遇到好时候。旧时指命运不好。
听风听水 形容善于赏玩自然景色。
沥血披心 比喻竭尽忠诚、恳挚的心意。同沥血叩心”。
无所不知 什么事情都知道，没有不懂得的。
秋风过耳 象秋风从耳边吹过一样。比喻与己无关，毫不再意。
披心沥血 剖开心滴出血来。比喻竭尽忠诚。
风驰云卷 形容迅速席卷。
熊心豹胆 比喻非常胆大。
言听计行 形容对某人十分信任。同言听计从”。
计行言听 行其计，听其言。形容十分信任。
存心养性 保存赤子之心，修养善良之性。旧时儒家宣扬的修养方法。
出敌不意 指行动出于敌方意料。
齿少心锐 指年轻气盛，锐意进取。
豺狼野心 比喻坏人的狠毒用心。
不知自量 形容没有正确估计自己的能力有多大。
略迹原心 撇开表面的事实，而从其用心上加以原谅。
不辞而别 辞告辞；别离别。没有告辞就离开了。或悄悄溜走了。
盲风怪云 指急骤的风云。
枯体灰心 身体像枯木心如同死灰。形容极端消极。同枯形灰心”。
力不自胜 胜经得住。由于力量不够而使得自己经受不起。
金口御言 旧时用以指天子之言◇泛指说话正确，不能改变。同金口玉音”。
心有余悸 悸因害怕而心跳得厉害。危险的事情虽然过去了，回想起来心里还害怕。
流言飞语 毫无根据的话。指背后散布的诽谤性的坏话。同流言蜚语”。
千金之家 指富豪之家。
专心致志 致尽，极；志意志。把心思全放在上面。形容一心一意，聚精会神。
闻风远扬 风风声，消息。指听到一点风声就逃得远远的。
翼翼小心 形容恭敬小心，丝毫不敢疏忽懈怠。
无风扬波 犹言无风起浪。比喻无端生事。
心绪如麻 犹心乱如麻。形容心里非常烦乱。
威风八面 形容神气十足，声势慑人。
八面威风 威风令人敬畏的气势。各个方面都很威风。形容神气足，声势盛。
设心积虑 处心积虑；用尽心思。
风雨如磐 磐大石头。形容风雨极大。
出言吐气 犹言谈吐。指说话。
小心翼翼 翼翼严肃谨慎。本是严肃恭敬的意思。现形容谨慎小心，一点不敢疏忽。
求之不得 想找都找不到。原指急切企求，但不能得到◇多形容迫切希望得到。
情不自禁 禁抑制。感情激动得不能控制。强调完全被某种感情所支配。
死而复生 死去了又活过来，形容生命不息。
小心谨慎 形容言行慎重，不敢疏忽。
降心俯首 指虚心下气，恭顺服从。
吞风饮雨 犹言餐风宿露。形容四处奔波，生活艰辛。
摘胆剜心 摘取。剜用刀剜。用刀子将胆和心取出。形容非常痛苦。
不知自爱 不知道爱惜自己。
简在帝心 指能被皇帝所知者。
疾雨暴风 指来势急遽而猛烈的风雨。同暴风疾雨”。
心凝形释 精神凝聚，形体散释。指思想极为专注，简直忘记了自己身体的存在。
义不生财 主持正义者不苟取财物。亦作义不生财，慈不主兵。”
归心似箭 想回家的心情象射出的箭一样快。形容回家心切。
议论风发 形容谈论广泛、生动而又风趣。
一目五行 犹一目十行。形容看书非常快。
暴风疾雨 指来势急遽而猛烈的风雨。
不识之无 连之”字、无”字都不认识。形容人不识字，文化水平很低。
不得其死 指人不得好死。也表示对恶人的诅咒。
疾风暴雨 疾又快又猛；暴突然而猛烈。形容风雨来势猛。比喻迅猛激烈的斗争。
将心比心 设身处地地为别人着想。
四海承风 指全国都接受教化。
风调雨顺 调调和；顺和协。风雨及时适宜。形容风雨适合农时。
雨顺风调 调调和；顺和协。风雨及时适宜。形容风雨适合农时。
